comp,matches,decisive_rate,entry1_count,entry2_count,pnl_entry1_sum,pnl_entry2_sum,pnl_total_sum,pnl_entry1_avg,pnl_entry2_avg,pnl_total_avg,00at60_samples,00at60_decisive_rate,pnl_entry1_avg_on_bets,pnl_entry2_avg_on_bets
German Bundesliga 2,58,0.7931034482758621,41,12,1260.0,-210.0,1050.0,21.724137931034484,-3.6206896551724137,18.103448275862068,19,0.7368421052631579,30.73170731707317,-17.5
Icelandic 1 Deild,47,0.7872340425531915,29,0,1035.0,0.0,1035.0,22.02127659574468,0.0,22.02127659574468,12,0.6666666666666666,35.689655172413794,
Swedish Allsvenskan,68,0.7794117647058824,43,18,1155.0,-340.0,815.0,16.985294117647058,-5.0,11.985294117647058,24,0.75,26.86046511627907,-18.88888888888889
Cypriot 1st Division,14,0.8571428571428571,6,2,600.0,200.0,800.0,42.857142857142854,14.285714285714286,57.142857142857146,5,0.8,100.0,100.0
Dutch Eredivisie,65,0.7692307692307693,30,4,360.0,400.0,760.0,5.538461538461538,6.153846153846154,11.692307692307692,7,1.0,12.0,100.0
Greek Super League,28,0.7857142857142857,11,3,330.0,300.0,630.0,11.785714285714286,10.714285714285714,22.5,10,0.9,30.0,100.0
Dutch Eerste Divisie,55,0.7818181818181819,28,8,570.0,50.0,620.0,10.363636363636363,0.9090909090909091,11.272727272727273,14,0.7857142857142857,20.357142857142858,6.25
Slovenian Premier League,45,0.8,26,5,430.0,140.0,570.0,9.555555555555555,3.111111111111111,12.666666666666666,7,0.7142857142857143,16.53846153846154,28.0
German Bundesliga,47,0.8085106382978723,20,0,550.0,0.0,550.0,11.702127659574469,0.0,11.702127659574469,7,0.42857142857142855,27.5,
English WSL,26,0.8461538461538461,12,0,505.0,0.0,505.0,19.423076923076923,0.0,19.423076923076923,8,0.625,42.083333333333336,
Croatian 1 HNL,32,0.78125,18,0,500.00000000000006,0.0,500.00000000000006,15.625000000000002,0.0,15.625000000000002,9,0.6666666666666666,27.777777777777782,
Ecuadorian Serie B,10,0.9,8,0,475.0,0.0,475.0,47.5,0.0,47.5,4,1.0,59.375,
Romanian Liga II,35,0.8,17,0,465.0,0.0,465.0,13.285714285714286,0.0,13.285714285714286,11,0.6363636363636364,27.352941176470587,
German 3 Liga,63,0.7777777777777778,45,0,455.0000000000001,0.0,455.0000000000001,7.222222222222224,0.0,7.222222222222224,12,0.5,10.111111111111114,
Irish Division 1,56,0.75,35,0,420.0,0.0,420.0,7.5,0.0,7.5,13,0.5384615384615384,12.0,
Swedish Division 1,73,0.7671232876712328,53,0,300.0000000000001,0.0,300.0000000000001,4.109589041095892,0.0,4.109589041095892,14,0.5714285714285714,5.660377358490568,
Estonian Premier League,23,0.8695652173913043,10,0,280.0,0.0,280.0,12.173913043478262,0.0,12.173913043478262,3,0.3333333333333333,28.0,
Indonesian Super League,25,0.8,15,0,244.99999999999997,0.0,244.99999999999997,9.799999999999999,0.0,9.799999999999999,11,0.6363636363636364,16.333333333333332,
Swedish Superettan,92,0.75,64,0,205.00000000000003,0.0,205.00000000000003,2.2282608695652177,0.0,2.2282608695652177,24,0.5,3.2031250000000004,
Norwegian 2nd Division,34,0.7647058823529411,13,0,175.0,0.0,175.0,5.147058823529412,0.0,5.147058823529412,4,0.75,13.461538461538462,
Kazakhstan Premier League,21,0.7619047619047619,13,6,125.00000000000003,15.0,140.0,5.952380952380953,0.7142857142857143,6.666666666666667,8,0.75,9.615384615384617,2.5
Jordanian Premier League,19,0.8947368421052632,10,2,260.0,-140.0,120.0,13.68421052631579,-7.368421052631579,6.315789473684211,6,0.8333333333333334,26.0,-70.0
Swiss Challenge League,31,0.8064516129032258,22,5,-30.0,140.0,110.0,-0.967741935483871,4.516129032258065,3.5483870967741935,8,0.875,-1.3636363636363635,28.0
Lithuanian 1 Lyga,19,0.8947368421052632,5,0,100.0,0.0,100.0,5.2631578947368425,0.0,5.2631578947368425,4,0.75,20.0,
